#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.050202 1.010822 -2.330128
 1.000000 0.043072 0.623035 -2.416934
 2.000000 0.047334 0.797434 -2.673137
 3.000000 0.046036 1.103331 -2.737042
 4.000000 0.065448 1.397443 -2.710078
 5.000000 0.059682 1.123161 -2.679955
 6.000000 0.037195 0.839941 2.878353
 7.000000 0.036945 1.141143 -2.195933
 8.000000 0.047841 0.998154 -2.343278
 9.000000 0.064323 0.876090 -2.784223
 10.000000 0.069538 1.124963 -2.709016
 11.000000 0.042357 1.074583 -2.623419
 12.000000 0.073578 0.950849 -2.855513
 13.000000 0.061020 0.865563 -2.599284
 14.000000 0.059573 0.988581 -2.534199
 15.000000 0.038755 0.800101 -2.699221
 16.000000 0.061489 0.956472 -2.732478
 17.000000 0.067372 1.088867 -2.662918
 18.000000 0.051494 1.046443 -2.579530
 19.000000 0.034549 1.241024 -2.295998
 20.000000 0.075599 0.927109 -2.665236
 21.000000 0.044671 0.973278 -2.491343
 22.000000 0.054641 0.839127 -2.337432
 23.000000 0.061600 0.943787 -2.567356
 24.000000 0.054249 0.768453 -2.526453
 25.000000 0.068960 1.169545 -2.658043
 26.000000 0.050039 0.830520 -2.667049
 27.000000 0.050729 1.064822 -2.512268
 28.000000 0.078149 1.145133 -2.537550
 29.000000 0.040190 0.802488 -2.481976
 30.000000 0.072101 1.130703 -2.725367
 31.000000 0.054018 1.126772 -2.396152
 32.000000 0.054444 1.072681 -2.478624
 33.000000 0.035439 0.747835 -2.080509
 34.000000 0.038978 1.031923 -2.429690
 35.000000 0.025753 0.822925 -2.257400
 36.000000 0.064282 1.295840 -2.730268
 37.000000 0.051933 0.964335 -2.960510
 38.000000 0.037066 0.979221 -2.870771
 39.000000 0.060137 1.117428 -2.712827
 40.000000 0.056413 1.235245 -2.498767
 41.000000 0.075568 0.973538 -2.506756
 42.000000 0.084981 1.151647 -2.769067
 43.000000 0.087157 1.212685 -2.738256
 44.000000 0.080295 1.455962 -2.539669
 45.000000 0.073760 1.514800 -2.623128
 46.000000 0.091828 1.255459 -2.716305
 47.000000 0.086149 1.164096 -2.754918
 48.000000 0.091675 1.268902 -2.716783
 49.000000 0.085021 1.321470 -2.805684
 50.000000 0.084972 1.471901 -2.873875
 51.000000 0.073014 1.178747 -2.459788
 52.000000 0.093404 1.291451 -2.762026
 53.000000 0.084982 1.328020 -2.534951
 54.000000 0.075519 1.454106 -2.700620
 55.000000 0.089373 1.350153 -2.543420
 56.000000 0.062686 1.242143 -2.709624
 57.000000 0.091146 1.411603 -2.699510
 58.000000 0.076909 1.266964 -2.497823
 59.000000 0.069809 1.238465 -2.864574
 60.000000 0.082125 1.260930 -2.661021
 61.000000 0.069023 1.082887 -2.622543
 62.000000 0.074198 1.130784 -2.649306
 63.000000 0.056233 1.049131 -2.779026
 64.000000 0.102166 1.260976 -2.697492
 65.000000 0.089024 1.154804 -2.819113
 66.000000 0.068640 1.169193 -2.688825
 67.000000 0.047870 1.091884 -2.642294
 68.000000 0.075026 1.201438 -2.739264
 69.000000 0.087602 1.380362 -2.668369
 70.000000 0.064165 1.352640 -2.974123
 71.000000 0.059381 1.109781 -3.068109
 72.000000 0.077977 1.282937 -2.851941
 73.000000 0.080947 1.349613 -2.740829
 74.000000 0.054085 1.257815 -2.591704
 75.000000 0.071436 1.131961 -3.052305
 76.000000 0.045073 1.274952 -2.999506
 77.000000 0.075194 1.354565 -2.952598
 78.000000 0.053069 1.029414 -2.885184
 79.000000 0.071028 1.069562 -3.015834
 80.000000 0.057491 1.184055 -2.586794
 81.000000 0.031016 0.804684 -2.564877
 82.000000 0.041697 1.071579 -2.441803
 83.000000 0.048759 1.050225 -2.477271
 84.000000 0.046947 0.912989 -2.485446
 85.000000 0.026677 1.123732 -3.121987
 86.000000 0.040264 0.869884 -2.397693
 87.000000 0.023306 1.306067 -2.580559
#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 88.000000 0.035889 0.848131 -2.875025
 89.000000 0.023078 1.001511 -2.057403
 90.000000 0.024589 1.057962 -3.131230
 91.000000 0.046497 0.754819 -2.962234
 92.000000 0.030292 1.049719 -2.539396
 93.000000 0.030572 0.597428 -2.728449
 94.000000 0.046986 0.777994 -2.826609
 95.000000 0.035004 0.794882 -2.184811
 96.000000 0.036177 0.820097 -2.186971
