#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.653260 1.513360 1.508068
 1.000000 0.706961 1.445090 1.549202
 2.000000 0.690972 1.430076 1.548342
 3.000000 0.743127 1.404964 1.512620
 4.000000 0.736277 1.391705 1.488204
 5.000000 0.695461 1.451533 1.427738
 6.000000 0.712176 1.509312 1.547549
 7.000000 0.729118 1.435445 1.412298
 8.000000 0.726945 1.478779 1.389693
 9.000000 0.702609 1.420313 1.416353
 10.000000 0.727913 1.503334 1.417697
 11.000000 0.713842 1.488667 1.464667
 12.000000 0.715835 1.491407 1.514110
 13.000000 0.599153 1.438528 1.385667
 14.000000 0.665434 1.431210 1.531936
 15.000000 0.690123 1.418915 1.552655
 16.000000 0.757708 1.394791 1.390703
 17.000000 0.718455 1.396130 1.467134
 18.000000 0.698796 1.414335 1.569355
 19.000000 0.698888 1.317098 1.596129
 20.000000 0.692709 1.327497 1.602864
 21.000000 0.736578 1.395150 1.586752
 22.000000 0.769745 1.392640 1.506344
 23.000000 0.770904 1.298646 1.465271
 24.000000 0.717752 1.384368 1.538246
 25.000000 0.813524 1.344722 1.430686
 26.000000 0.779605 1.245319 1.472132
 27.000000 0.787275 1.314539 1.369358
 28.000000 0.815253 1.324173 1.393594
 29.000000 0.802609 1.296664 1.451938
 30.000000 0.765460 1.297858 1.453195
 31.000000 0.780046 1.399125 1.461540
 32.000000 0.758904 1.318833 1.382747
 33.000000 0.801949 1.411743 1.406845
 34.000000 0.778803 1.341011 1.369673
 35.000000 0.707691 1.375528 1.332389
 36.000000 0.747454 1.378440 1.394194
 37.000000 0.693714 1.443226 1.404268
 38.000000 0.691973 1.310987 1.479465
 39.000000 0.698069 1.331344 1.453833
 40.000000 0.677655 1.250436 1.426748
 41.000000 0.673134 1.291935 1.476669
 42.000000 0.674387 1.286019 1.453888
 43.000000 0.689251 1.285922 1.504492
 44.000000 0.743886 1.259994 1.512062
 45.000000 0.758540 1.256870 1.528582
 46.000000 0.790077 1.245909 1.557100
 47.000000 0.677112 1.288260 1.603532
 48.000000 0.712486 1.297437 1.644062
 49.000000 0.715286 1.236248 1.580617
 50.000000 0.692656 1.282027 1.484393
 51.000000 0.723337 1.230499 1.550439
 52.000000 0.714889 1.246435 1.636611
 53.000000 0.697740 1.291598 1.465154
 54.000000 0.644390 1.337189 1.387658
 55.000000 0.631774 1.283713 1.502485
 56.000000 0.621475 1.298288 1.508520
 57.000000 0.685716 1.306274 1.512956
 58.000000 0.676903 1.238018 1.529780
 59.000000 0.668722 1.194135 1.615043
 60.000000 0.709225 1.142651 1.617172
 61.000000 0.720985 1.131888 1.605924
 62.000000 0.770342 1.190265 1.508945
 63.000000 0.776939 1.159390 1.465068
 64.000000 0.754111 1.185506 1.480385
 65.000000 0.766778 1.162765 1.516294
 66.000000 0.741850 1.193496 1.592732
 67.000000 0.758409 1.225841 1.502787
 68.000000 0.842652 1.179802 1.472547
 69.000000 0.820900 1.103937 1.551630
 70.000000 0.757675 1.116953 1.363839
 71.000000 0.781490 1.087303 1.379129
 72.000000 0.740173 1.120584 1.436614
 73.000000 0.733662 1.194304 1.411769
 74.000000 0.778447 1.207963 1.418849
 75.000000 0.702010 1.138768 1.411455
 76.000000 0.729405 1.186494 1.420570
 77.000000 0.743271 1.232660 1.440041
 78.000000 0.716829 1.179858 1.499230
 79.000000 0.698321 1.163174 1.425554
 80.000000 0.737504 1.180934 1.361924
 81.000000 0.694401 1.198743 1.445235
 82.000000 0.707897 1.159879 1.403908
 83.000000 0.660838 1.198175 1.386983
 84.000000 0.737942 1.160745 1.316904
 85.000000 0.760308 1.144600 1.403325
 86.000000 0.730355 1.102353 1.357515
 87.000000 0.726964 1.086241 1.448006
 88.000000 0.765757 1.147952 1.483054
 89.000000 0.702578 1.177125 1.528606
 90.000000 0.758749 1.103088 1.351382
 91.000000 0.698603 1.132743 1.475570
 92.000000 0.708756 1.153104 1.437575
 93.000000 0.700513 1.031400 1.473888
 94.000000 0.651553 0.994125 1.452343
 95.000000 0.666572 1.098055 1.401626
 96.000000 0.729182 1.129649 1.503426
 97.000000 0.775179 1.019906 1.492927
 98.000000 0.874101 1.060544 1.421551
 99.000000 0.828755 1.092033 1.338311
 100.000000 0.769038 1.144221 1.374941
 101.000000 0.823100 1.087660 1.350804
 102.000000 0.859032 1.136615 1.385397
 103.000000 0.822804 1.112751 1.360986
 104.000000 0.802451 1.065503 1.300525
 105.000000 0.727626 1.088608 1.418941
 106.000000 0.773310 1.119956 1.470882
 107.000000 0.704292 1.123840 1.401231
 108.000000 0.808888 1.079780 1.339607
 109.000000 0.743487 1.085454 1.526623
 110.000000 0.702244 1.069130 1.548206
 111.000000 0.686995 1.171216 1.492425
 112.000000 0.693720 1.181837 1.608377
 113.000000 0.702619 1.139508 1.550197
 114.000000 0.686287 1.163693 1.608056
 115.000000 0.667699 1.177416 1.489594
 116.000000 0.764673 1.113719 1.608929
 117.000000 0.738954 1.241273 1.625790
 118.000000 0.741856 1.122099 1.634942
 119.000000 0.779697 1.069442 1.617781
 120.000000 0.766630 1.097343 1.591316
 121.000000 0.733642 1.084045 1.665288
 122.000000 0.671201 1.128913 1.623453
 123.000000 0.735356 1.193023 1.515527
 124.000000 0.716755 1.233079 1.467091
 125.000000 0.729292 1.263587 1.457505
 126.000000 0.783610 1.212797 1.475763
 127.000000 0.773750 1.319913 1.481499
 128.000000 0.795480 1.249006 1.385687
 129.000000 0.771711 1.248287 1.454577
 130.000000 0.748998 1.274967 1.508558
 131.000000 0.814094 1.185305 1.504131
 132.000000 0.754859 1.154059 1.466419
 133.000000 0.789052 1.081528 1.348113
 134.000000 0.788010 1.095553 1.436819
 135.000000 0.774638 1.085408 1.323866
 136.000000 0.774559 1.116442 1.381194
 137.000000 0.815974 1.097958 1.431694
