#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.011419 2.090068 -2.851733
 1.000000 0.033378 2.159281 -2.031606
 2.000000 0.008557 1.480433 3.136109
 3.000000 0.021499 1.483109 -2.274288
 4.000000 0.009942 1.941018 1.984245
 5.000000 0.014879 1.649605 3.073146
 6.000000 0.019615 0.965873 -2.910061
 7.000000 0.025599 1.581677 -2.089189
 8.000000 0.044908 1.653894 -1.925288
 9.000000 0.033779 2.233895 -2.662105
 10.000000 0.015071 1.881338 -2.564936
 11.000000 0.011166 2.077766 -2.570749
 12.000000 0.034695 1.809319 -2.319323
 13.000000 0.026767 1.500104 1.980720
 14.000000 0.020383 1.999906 2.281296
 15.000000 0.017354 1.833000 1.992338
 16.000000 0.004892 0.501652 2.606359
 17.000000 0.013213 1.436545 2.621352
 18.000000 0.029987 2.155607 -2.405785
 19.000000 0.030616 1.698896 -1.901804
 20.000000 0.026588 1.695390 -1.742231
 21.000000 0.006707 1.287169 2.661945
 22.000000 0.013412 1.322675 -2.944332
 23.000000 0.010712 1.469169 2.471530
 24.000000 0.021676 1.060544 -2.208199
 25.000000 0.004934 2.915380 -1.817029
 26.000000 0.005887 2.246994 2.873772
 27.000000 0.007038 1.891795 3.054150
 28.000000 0.049826 2.459446 -2.226819
 29.000000 0.038684 2.305652 -2.385744
 30.000000 0.011110 1.301814 2.784793
 31.000000 0.023259 0.954989 2.548502
 32.000000 0.016453 1.314324 -3.108918
 33.000000 0.026474 1.087867 1.847674
 34.000000 0.026284 1.643975 2.948537
 35.000000 0.007980 1.578868 1.724304
 36.000000 0.021237 1.587972 -2.652800
 37.000000 0.023578 0.984877 -3.092130
 38.000000 0.029650 0.810985 -3.070510
 39.000000 0.024267 0.820326 -3.124706
 40.000000 0.025898 0.964342 2.690019
 41.000000 0.002028 1.548514 0.683171
 42.000000 0.005848 1.806493 2.730372
 43.000000 0.020453 2.832010 3.016713
 44.000000 0.041059 1.619510 -2.140645
 45.000000 0.042366 2.427786 -2.227091
 46.000000 0.015941 2.178983 -1.278049
 47.000000 0.014773 1.421423 -2.907845
 48.000000 0.041167 1.995214 -1.936958
 49.000000 0.016623 1.405871 3.057429
 50.000000 0.029376 2.399397 2.083061
 51.000000 0.021072 2.077288 -2.278073
 52.000000 0.043215 2.179740 -1.740476
 53.000000 0.041227 1.938322 -2.212165
 54.000000 0.051016 2.752310 -2.285750
 55.000000 0.061281 2.882051 -2.832478
 56.000000 0.080866 2.840087 -2.124908
 57.000000 0.078086 2.629338 -1.804599
 58.000000 0.105796 3.009759 -1.415676
 59.000000 0.097820 3.047695 -1.108738
 60.000000 0.099732 2.836349 -1.449379
 61.000000 0.091968 2.897580 -1.663072
 62.000000 0.090263 2.751867 -1.475257
 63.000000 0.110732 2.847452 -1.126667
 64.000000 0.100369 2.963528 -1.383426
 65.000000 0.087359 2.750319 -1.240291
 66.000000 0.105593 2.972339 -1.073141
 67.000000 0.105748 2.911459 -1.072586
 68.000000 0.086978 2.894730 -1.280837
 69.000000 0.115082 2.927948 -0.939155
 70.000000 0.096961 3.037250 -1.037518
 71.000000 0.121104 2.945113 -1.379885
 72.000000 0.111233 2.747373 -1.280961
 73.000000 0.099914 3.039927 -0.427555
 74.000000 0.077266 2.982875 -0.797342
 75.000000 0.080052 2.853883 -1.138782
 76.000000 0.108524 3.043431 -2.658183
 77.000000 0.127380 3.045935 -0.554763
 78.000000 0.094597 2.987554 -1.847880
 79.000000 0.114186 2.958500 -0.458318
 80.000000 0.110496 2.859723 -1.425145
 81.000000 0.090951 2.940876 -1.332721
 82.000000 0.107836 2.914340 -1.006737
 83.000000 0.118694 2.988824 -0.482392
 84.000000 0.130121 3.078670 -0.198452
 85.000000 0.112572 2.993811 -0.959826
 86.000000 0.100182 3.017485 -1.265685
 87.000000 0.096329 3.064541 -0.723023
 88.000000 0.100204 3.130114 -0.678636
 89.000000 0.079653 2.976538 -1.053045
 90.000000 0.128053 3.056709 -1.560284
 91.000000 0.093229 3.008217 -1.598794
 92.000000 0.097108 3.034632 -0.515418
 93.000000 0.092666 3.045926 -2.749534
 94.000000 0.112802 2.984805 -1.749397
 95.000000 0.083667 3.060991 3.000488
 96.000000 0.096500 3.044195 2.240732
 97.000000 0.111981 3.060555 1.775859
 98.000000 0.119785 3.078794 2.857789
 99.000000 0.118137 2.918598 -1.502069
 100.000000 0.119137 2.987385 -1.306741
 101.000000 0.073258 2.837824 -1.057752
 102.000000 0.071571 2.903825 -1.607464
 103.000000 0.086240 2.971431 1.023919
 104.000000 0.119655 3.036484 -1.154693
 105.000000 0.115848 2.958579 -0.655847
 106.000000 0.109060 3.030467 1.978875
 107.000000 0.103447 3.068352 -0.387053
 108.000000 0.075741 2.994119 -0.597392
 109.000000 0.095059 3.100914 -2.724648
 110.000000 0.089180 2.980449 1.914963
 111.000000 0.072369 3.068979 1.460483
 112.000000 0.113443 2.996717 0.791919
 113.000000 0.081268 2.978715 1.511725
 114.000000 0.109897 2.992457 -2.569302
 115.000000 0.127843 3.106734 -0.549921
