#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.401961 2.268791 0.499477
 1.000000 0.385719 2.268750 0.480276
 2.000000 0.396909 2.229421 0.639379
 3.000000 0.372964 2.238115 0.603395
 4.000000 0.378471 2.232349 0.413476
 5.000000 0.426996 2.221793 0.374563
 6.000000 0.394808 2.146245 0.351302
 7.000000 0.393025 2.123529 0.417287
 8.000000 0.380769 2.196819 0.639403
 9.000000 0.404766 2.221135 0.575929
 10.000000 0.382146 2.247819 0.532411
 11.000000 0.388745 2.390025 0.572926
 12.000000 0.400694 2.345453 0.565824
 13.000000 0.413141 2.239480 0.579551
 14.000000 0.388177 2.228810 0.471637
 15.000000 0.387415 2.309300 0.517412
 16.000000 0.397320 2.207938 0.492972
 17.000000 0.411719 2.315274 0.643138
 18.000000 0.403060 2.280145 0.609148
 19.000000 0.356294 2.291732 0.651976
 20.000000 0.368541 2.286332 0.673141
 21.000000 0.384871 2.264586 0.549218
 22.000000 0.387071 2.312249 0.693109
 23.000000 0.391628 2.156086 0.607621
 24.000000 0.339114 2.176931 0.696242
 25.000000 0.396576 2.169288 0.706006
 26.000000 0.398991 2.205481 0.665420
 27.000000 0.375835 2.109615 0.675597
 28.000000 0.377029 2.190340 0.746730
 29.000000 0.363130 2.227071 0.788019
 30.000000 0.373893 2.260353 0.692301
 31.000000 0.367584 2.217427 0.737858
 32.000000 0.378707 2.273411 0.693396
 33.000000 0.369629 2.217128 0.717116
 34.000000 0.383111 2.276032 0.790336
 35.000000 0.367039 2.216967 0.728262
 36.000000 0.403449 2.141125 0.718606
 37.000000 0.356724 2.232167 0.746967
 38.000000 0.383875 2.265685 0.623849
 39.000000 0.391384 2.150359 0.654969
 40.000000 0.386283 2.222299 0.538412
 41.000000 0.421039 2.211055 0.651785
 42.000000 0.409191 2.207704 0.612335
 43.000000 0.393980 2.253262 0.626721
 44.000000 0.388983 2.163359 0.666447
 45.000000 0.373716 2.211567 0.638284
 46.000000 0.398195 2.353282 0.684114
 47.000000 0.400384 2.290144 0.601421
 48.000000 0.407304 2.161282 0.633108
 49.000000 0.419299 2.223470 0.668801
 50.000000 0.395613 2.267522 0.493558
 51.000000 0.410626 2.187919 0.646919
 52.000000 0.369921 2.280822 0.537409
 53.000000 0.387720 2.187943 0.495221
 54.000000 0.364258 2.185947 0.490765
 55.000000 0.346404 2.021174 0.489075
 56.000000 0.408870 2.134120 0.333270
 57.000000 0.369520 2.139652 0.482864
 58.000000 0.356183 2.157013 0.557257
 59.000000 0.364746 2.114402 0.454820
 60.000000 0.374383 2.200270 0.491836
 61.000000 0.337092 2.165479 0.489939
 62.000000 0.402624 2.229547 0.513178
 63.000000 0.376152 2.148189 0.568009
 64.000000 0.378000 2.129760 0.333480
 65.000000 0.391338 2.139771 0.490315
 66.000000 0.390930 2.194230 0.525459
 67.000000 0.353024 2.288180 0.623016
 68.000000 0.342115 2.131379 0.486544
 69.000000 0.360306 2.139232 0.370577
 70.000000 0.367069 2.184119 0.420896
 71.000000 0.385295 2.200357 0.342881
 72.000000 0.352254 2.238294 0.299413
 73.000000 0.333403 2.206767 0.378521
 74.000000 0.352866 2.230804 0.365038
 75.000000 0.351126 2.199907 0.410084
 76.000000 0.369906 2.293129 0.578232
 77.000000 0.382800 2.194263 0.462553
 78.000000 0.354979 2.172649 0.420524
 79.000000 0.338102 2.171010 0.414977
 80.000000 0.340441 2.164641 0.575238
 81.000000 0.343110 2.278585 0.537413
 82.000000 0.401887 2.183751 0.516781
 83.000000 0.356121 2.153667 0.506999
 84.000000 0.365005 2.287159 0.583084
 85.000000 0.369746 2.112667 0.559040
 86.000000 0.375121 2.184311 0.494023
 87.000000 0.397202 2.284176 0.604465
 88.000000 0.376119 2.266462 0.746612
 89.000000 0.377922 2.333714 0.524001
 90.000000 0.395585 2.293200 0.560530
 91.000000 0.406045 2.344822 0.579722
 92.000000 0.391390 2.379264 0.677041
 93.000000 0.405640 2.348840 0.590789
 94.000000 0.414875 2.321597 0.548511
 95.000000 0.411736 2.305424 0.535665
 96.000000 0.420603 2.277482 0.464385
 97.000000 0.429258 2.369082 0.529016
 98.000000 0.419040 2.432389 0.469526
 99.000000 0.404170 2.327788 0.610053
 100.000000 0.416097 2.189174 0.595672
 101.000000 0.410420 2.293869 0.633133
 102.000000 0.400877 2.254643 0.638625
 103.000000 0.394293 2.236026 0.560591
 104.000000 0.383051 2.198188 0.598963
 105.000000 0.387938 2.325223 0.617210
 106.000000 0.388911 2.305987 0.520822
 107.000000 0.356129 2.332050 0.536052
 108.000000 0.377655 2.360967 0.380811
 109.000000 0.347130 2.248816 0.410655
 110.000000 0.356499 2.266915 0.528289
 111.000000 0.312439 2.224780 0.409121
 112.000000 0.343271 2.249200 0.531132
 113.000000 0.347496 2.183498 0.462695
 114.000000 0.343782 2.202288 0.434326
 115.000000 0.360516 2.194618 0.477959
 116.000000 0.370065 2.224931 0.495789
 117.000000 0.361063 2.260774 0.445700
 118.000000 0.388914 2.301478 0.503374
 119.000000 0.382991 2.301991 0.365197
 120.000000 0.401356 2.319753 0.524627
 121.000000 0.388852 2.318254 0.592409
 122.000000 0.374644 2.264448 0.613044
 123.000000 0.364461 2.240037 0.473521
 124.000000 0.369668 2.260892 0.595925
 125.000000 0.377376 2.254300 0.483673
 126.000000 0.358227 2.288026 0.540017
 127.000000 0.350761 2.303334 0.528768
 128.000000 0.367283 2.247505 0.552424
 129.000000 0.346585 2.370155 0.496763
 130.000000 0.348697 2.330776 0.522605
 131.000000 0.348628 2.257467 0.446119
 132.000000 0.361967 2.217453 0.415606
 133.000000 0.377600 2.301454 0.313298
 134.000000 0.370328 2.306042 0.333377
 135.000000 0.395938 2.298879 0.447969
 136.000000 0.392704 2.290970 0.459330
 137.000000 0.400930 2.232994 0.279312
 138.000000 0.359815 2.290521 0.390984
 139.000000 0.407166 2.196099 0.378046
 140.000000 0.410544 2.258889 0.368564
 141.000000 0.397276 2.275824 0.488669
 142.000000 0.356893 2.339361 0.446883
 143.000000 0.409140 2.276170 0.359943
 144.000000 0.399444 2.267472 0.418504
 145.000000 0.403285 2.251868 0.355939
 146.000000 0.405953 2.202509 0.307751
 147.000000 0.444161 2.287648 0.412804
 148.000000 0.366587 2.178156 0.390144
 149.000000 0.358482 2.268632 0.513696
 150.000000 0.352861 2.334807 0.507001
 151.000000 0.351634 2.144349 0.483953
 152.000000 0.351692 2.220425 0.416555
 153.000000 0.356255 2.220296 0.451586
 154.000000 0.347890 2.180700 0.360855
 155.000000 0.375867 2.295734 0.520690
 156.000000 0.350281 2.247950 0.407251
 157.000000 0.361889 2.274881 0.592987
 158.000000 0.352050 2.304499 0.478072
 159.000000 0.339939 2.254023 0.460177
 160.000000 0.351164 2.271309 0.558061
 161.000000 0.360880 2.257561 0.455946
 162.000000 0.376517 2.229363 0.427536
 163.000000 0.388589 2.184267 0.395637
 164.000000 0.380733 2.281869 0.392858
 165.000000 0.397682 2.318833 0.383828
 166.000000 0.382365 2.258503 0.199804
 167.000000 0.386461 2.233110 0.214936
 168.000000 0.396342 2.288674 0.350520
 169.000000 0.380991 2.172111 0.233314
 170.000000 0.433241 2.326027 0.215382
 171.000000 0.396152 2.311665 0.285603
 172.000000 0.388240 2.407100 0.445118
 173.000000 0.367920 2.292704 0.287853
 174.000000 0.382987 2.213879 0.301934
 175.000000 0.370458 2.284884 0.149332
 176.000000 0.379731 2.010385 0.141362
 177.000000 0.359777 2.010524 0.103340
 178.000000 0.362461 1.888417 -0.014130
 179.000000 0.346811 1.989592 0.136006
 180.000000 0.339918 2.081207 0.094476
 181.000000 0.348616 2.148156 0.130047
 182.000000 0.355978 2.120196 0.149695
 183.000000 0.338766 2.064573 0.044008
 184.000000 0.346028 2.082945 0.063621
 185.000000 0.313007 2.133971 0.188087
 186.000000 0.330018 2.125600 0.235067
 187.000000 0.320123 2.203921 0.128048
 188.000000 0.361006 2.004039 0.100953
 189.000000 0.346647 2.139189 0.156076
 190.000000 0.349092 2.148374 0.285350
 191.000000 0.342662 2.185432 0.218961
 192.000000 0.317879 2.132526 0.163092
 193.000000 0.340933 2.149839 0.172762
 194.000000 0.336084 2.147681 0.185871
 195.000000 0.334122 2.156601 0.217507
 196.000000 0.342823 2.095408 0.194619
 197.000000 0.336717 2.170143 0.206836
 198.000000 0.312307 2.211017 0.356754
 199.000000 0.335873 2.148816 0.235796
 200.000000 0.359656 2.156215 0.199145
 201.000000 0.319840 2.114250 0.353039
 202.000000 0.350837 2.137108 0.195938
 203.000000 0.333907 2.191114 0.198167
 204.000000 0.346045 2.146616 0.216925
 205.000000 0.313967 2.176180 0.281040
 206.000000 0.342833 2.260516 0.162201
 207.000000 0.329849 2.096256 0.154969
 208.000000 0.360821 2.187774 0.250859
 209.000000 0.351030 2.240553 0.327089
 210.000000 0.362509 2.194937 0.275847
 211.000000 0.336726 2.230898 0.301888
 212.000000 0.359160 2.307535 0.383248
 213.000000 0.319619 2.266693 0.292629
 214.000000 0.330181 2.023023 0.139327
 215.000000 0.328650 2.156578 0.290185
 216.000000 0.308378 2.165415 0.228448
 217.000000 0.327587 2.111708 0.270264
 218.000000 0.354196 2.171256 0.363923
 219.000000 0.344216 2.232509 0.475497
 220.000000 0.353885 2.162785 0.347132
 221.000000 0.366390 2.147820 0.365091
 222.000000 0.352201 2.112829 0.376468
 223.000000 0.361864 2.242575 0.383105
 224.000000 0.351070 2.099669 0.420697
 225.000000 0.342923 2.189403 0.374840
 226.000000 0.349784 2.180953 0.329553
 227.000000 0.361497 2.267718 0.347632
 228.000000 0.347892 2.176705 0.257984
 229.000000 0.342652 2.250727 0.263644
 230.000000 0.352727 2.178678 0.316789
 231.000000 0.376266 2.191942 0.451568
 232.000000 0.383308 2.209044 0.392414
 233.000000 0.342740 2.086974 0.328639
 234.000000 0.365923 2.098558 0.213749
 235.000000 0.370756 2.051611 0.320798
 236.000000 0.349715 2.155074 0.382859
 237.000000 0.366754 2.190112 0.454351
 238.000000 0.358746 2.167067 0.429459
 239.000000 0.369661 2.129758 0.389347
 240.000000 0.383319 2.136375 0.313303
 241.000000 0.399433 2.181041 0.220881
 242.000000 0.369880 2.142726 0.244852
 243.000000 0.386731 2.184011 0.403281
 244.000000 0.370920 2.161092 0.358991
 245.000000 0.374451 2.236474 0.321696
 246.000000 0.382423 2.221699 0.356422
 247.000000 0.365978 2.120406 0.303212
 248.000000 0.371159 2.162070 0.317598
 249.000000 0.381031 2.220637 0.380647
 250.000000 0.369798 2.154466 0.316609
 251.000000 0.356888 2.325273 0.437509
 252.000000 0.352110 2.238262 0.342665
 253.000000 0.371377 2.282407 0.292500
 254.000000 0.355470 2.170145 0.285887
 255.000000 0.378792 2.122279 0.275604
#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 256.000000 0.396286 2.287427 0.386496
 257.000000 0.368758 2.171406 0.393540
 258.000000 0.356527 2.231411 0.284749
 259.000000 0.373277 2.082242 0.306701
 260.000000 0.310829 2.145406 0.403200
