#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 0.000000 0.050202 1.010822 -2.330128
 1.000000 0.041634 1.010265 -2.940223
 2.000000 0.055262 0.933926 -2.690363
 3.000000 0.056734 1.021144 -2.971935
 4.000000 0.043665 0.951020 -3.064932
 5.000000 0.067938 1.056034 -2.975186
 6.000000 0.034696 0.581568 -2.738860
 7.000000 0.049276 0.747697 3.069967
 8.000000 0.038330 1.032376 3.133488
 9.000000 0.050151 0.845630 -2.482851
 10.000000 0.037095 0.834511 -3.038855
 11.000000 0.050725 1.306555 -2.754847
 12.000000 0.032062 0.491387 2.950154
 13.000000 0.054304 1.144956 -2.533921
 14.000000 0.048958 1.098688 -2.654309
 15.000000 0.052963 0.762903 -2.468461
 16.000000 0.051012 1.029641 -2.456551
 17.000000 0.039036 1.263675 -2.557314
 18.000000 0.060689 1.183741 -2.351108
 19.000000 0.041295 0.718853 -2.934138
 20.000000 0.050754 1.023660 -2.809194
 21.000000 0.055525 0.923496 -2.706724
 22.000000 0.046784 0.922799 -2.285983
 23.000000 0.053278 1.376514 -2.817435
 24.000000 0.046654 0.692949 -2.188412
 25.000000 0.061491 1.276135 -2.684729
 26.000000 0.047970 1.172474 -2.068345
 27.000000 0.035840 1.073631 -2.647651
 28.000000 0.041808 0.678992 -2.684722
 29.000000 0.049664 0.947617 -2.783141
 30.000000 0.048205 1.187942 -2.041641
 31.000000 0.065079 1.271679 -2.621060
 32.000000 0.055184 1.175667 -2.152686
 33.000000 0.045464 1.471347 -2.061278
 34.000000 0.055770 1.385149 -2.571313
 35.000000 0.048878 0.793144 -2.499790
 36.000000 0.068171 1.459821 -2.428573
 37.000000 0.050083 1.027438 -2.229756
 38.000000 0.057753 1.360396 -2.610847
 39.000000 0.035307 1.225847 -2.084988
 40.000000 0.045260 1.351679 -1.997935
 41.000000 0.059667 1.501099 -2.281020
 42.000000 0.051234 1.595372 -2.387126
 43.000000 0.063927 1.439495 -2.097030
 44.000000 0.044481 1.486385 -2.165485
 45.000000 0.048160 1.287808 -2.218004
 46.000000 0.038996 1.577181 -1.809316
 47.000000 0.057190 1.109634 -2.100611
 48.000000 0.047983 1.357268 -2.426986
 49.000000 0.041990 1.546723 -2.436311
 50.000000 0.052950 0.924493 -2.017748
 51.000000 0.034161 0.840969 -1.810043
 52.000000 0.032137 0.795958 -1.652614
